step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well,liquid_type_x,liquid_type_y,liquid_type
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,12,9,10.0,12,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,12,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,13,9,10.0,13,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,13,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,14,9,10.0,14,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,14,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,15,9,10.0,15,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,15,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,16,9,10.0,16,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,16,ivl_96_dw_v1_0001,1,imaging,,imaging
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-N1,2,9,10,3.0,9,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,9,ivl_384_flat_v1_0001,5,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-P1,2,10,10,3.0,10,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,10,ivl_384_flat_v1_0001,7,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-N1,2,11,10,3.0,11,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,11,ivl_384_flat_v1_0001,9,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-P1,2,12,10,3.0,12,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,12,ivl_384_flat_v1_0001,11,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-N1,2,13,10,3.0,13,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,13,ivl_384_flat_v1_0001,1,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-P1,2,14,10,3.0,14,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,14,ivl_384_flat_v1_0001,3,pbst,,pbst
